Code,Country,City/Region,Lat,Long,Setting1,Description,Indoor / Outdoor,Cases,Logo,Index Date,Reference,Flu Season,Setting2,Setting3,"Setting 4:
Singing, Loud Talking etc",Setting5: Refrigeration,End Date,Date
CAN6,Canada,"Toronto, Canada",43.843917,-79.546329,Nursing home,Care Home,Indoor,29,3,1584489600,CTV News article,yes,,,,,1601510400,"March 18, 2020"
CAN7,Canada,"Toronto, Canada",43.69433,-79.534121,Conference,Prospectors and Developers Association of Canada (PDAC),Indoor,3,1,1583020800,PDAC article,yes,,,,,1601510400,"March 1, 2020"
CAN8,Canada,"Mision Institution, B. C., Canada",49.16414955,-122.2885178,Prison,x,Indoor,132,6,1585612800,CTV News,yes,,,,,1601510400,"March 31, 2020"
CAN9,Canada,"Racine, Quebec, Canada",45.5036068,-72.2522645,Sports: Participation,Hockey game + drinks,Indoor / Outdoor,15,2,1582934400,Montreal Gazette,yes,Bar,,x,,1601510400,"February 29, 2020"
CHE1,Switzerland,"Zurich, Switzerland",47.378829,8.517144,Bar,Nightclub,Indoor,5,1,1592697600,Toronto Sun,no,,,x,,1601510400,"June 21, 2020"
CHN1,China,"Hubei, China",30.831695,112.545047,Household,Household,Indoor,3,1,1588636800,An et al.,yes,,,,,1601510400,"May 5, 2020"
CHN10,China,"Zhoushan, China",29.98661,122.215,Household,Household,Indoor,2,1,1579046400,Dong Tong et al.,yes,,,,,1601510400,"January 15, 2020"
CHN11,China,"Zhoushan, China",29.98661,122.215,Household,Household,Indoor,3,1,1579132800,Dong Tong et al.,yes,,,,,1601510400,"January 16, 2020"
CHN12,China,"Tianjin, China",39.10736,117.185,Household,Household,Indoor,4,1,1579219200,Huang et al.,yes,,,,,1601510400,"January 17, 2020"
CHN13,China,"Nanjing, China",32.04497,118.774,Meal,Family dinners,Indoor,4,1,1579305600,Huang et al.,yes,,,,,1601510400,"January 18, 2020"
CHN14,China,"Nanjing, China",32084972,118.774,Meal,Family dinners,Indoor,5,1,1579392000,Huang et al.,yes,,,,,1601510400,"January 19, 2020"
CHN15,China,"Wuhan, China",30.53971,114.328,Market,Seafood market,Indoor / Outdoor,27,3,1574726400,Huang et al. (2),yes,,,,x,1601510400,"November 26, 2019"
CHN16,China,"Beijing, China",39.93797,116.418,Meal,Dinner with friends,Indoor,4,1,1579046400,Ji et al.,yes,,,,,1601510400,"January 15, 2020"
CHN17,China,"Zhoushan, China",29.98661,122.215,Household,Household,Indoor,5,1,1579132800,Li et al.,yes,,,,,1601510400,"January 16, 2020"
CHN18,China,"Tianjin, China",39.10736,117.185,Household,Household,Indoor,7,1,1579219200,Liu et al.,yes,,,,,1601510400,"January 17, 2020"
CHN19,China,"Tianjin, China",39.131088,117.369654,Public,Public place,Indoor,26,3,1579305600,Liu et al.,yes,,,,,1601510400,"January 18, 2020"
CHN2,China,"Gansu, China",36.94503,103.79078,Household,Household,Indoor,7,1,1579651200,Bai et al.,yes,,,,,1601510400,"January 22, 2020"
CHN20,China,"Tianjin, China",39.047948,117.230952,Work,Workplace,Indoor,10,2,1579392000,Liu et al.,yes,,,,,1601510400,"January 19, 2020"
CHN21,China,"Harbin, China",45.7476,126.6245,Household,Household,Indoor,9,1,1579478400,Liu et al. (3),yes,,,,,1601510400,"January 20, 2020"
CHN22,China,"Shuangyashan, China",46.6361,131.1154,Household,Household,Indoor,5,1,1579564800,Liu et al. (3),yes,,,,,1601510400,"January 21, 2020"
CHN23,China,"Hangzhou, China",30.2572,120.1572,Meal,Meal,Indoor,2,1,1579651200,Liu et al. (3),yes,,,,,1601510400,"January 22, 2020"
CHN24,China,"Nanjing, China",32.045,118.7736,Meal,Meal,Indoor,8,1,1579737600,Liu et al. (3),yes,,,,,1601510400,"January 23, 2020"
CHN25,China,"Nanjing, China",32.065,118.7736,Restaurant,Meal,Indoor,4,1,1579824000,Liu et al. (3),yes,,,,,1601510400,"January 24, 2020"
CHN26,China,"Enshi, China",30.273964,109.484022,Meal,Meal,Indoor,3,1,1579910400,Liu et al. (3),yes,,,,,1601510400,"January 25, 2020"
CHN27,China,"Enshi, China",30.287889,109.448881,Meal,Meal,Indoor,11,2,1579996800,Liu et al. (3),yes,,,,,1601510400,"January 26, 2020"
CHN28,China,China,32.52374,106.43198,Household,Household,Indoor,3,1,1580083200,Lu et al.,yes,,,,,1601510400,"January 27, 2020"
CHN29,China,"Ghangzhou, China",23.097563,113.052029,Household,Household,Indoor,3,1,1580169600,Pan et al.,yes,,,,,1601510400,"January 28, 2020"
CHN3,China,"Anyang, China",36.10393,114.390798,Household,Household,Indoor,6,1,1578614400,Bai et al. (2),yes,,,,,1601510400,"January 10, 2020"
CHN30,China,"Zhejiang, China",29.014556,120.024707,Household,Household,Indoor,8,1,1580256000,Qian et al,yes,,,,,1601510400,"January 29, 2020"
CHN31,China,"Zhejiang, China",29.054559,120.024702,Religious,Temple,Indoor,23,2,1580342400,Qian et al. (2),yes,,,x,,1601510400,"January 30, 2020"
CHN32,China,"Zhengzhou, Chin",34.728989,113.670034,Household,Household,Indoor,8,1,1580428800,Qiu et al.,yes,,,,,1601510400,"January 31, 2020"
CHN33,China,"Wuhan, China",30.518141,114.242666,Hospital,Hospital,Indoor,15,2,1580515200,Wang et al.,yes,,,,,1601510400,"February 1, 2020"
CHN34,China,"Tianjin, China",39.128958,117.410853,Shopping,Department store,Indoor,20,2,1580601600,Wu et al.,yes,,,,,1601510400,"February 2, 2020"
CHN35,China,"Tianjin, China",39.148957,117.410852,Work,Department store,Indoor,7,1,1580688000,Wu et al.,yes,,,,,1601510400,"February 3, 2020"
CHN36,China,China,32.52374,106.43198,Meal,Dining,Indoor,5,1,1580774400,Yang et al.,yes,,,,,1601510400,"February 4, 2020"
CHN37,China,China,32.62374,106.43198,Shopping,Shopping mall or supermarkets,Indoor,13,2,1580860800,Yang et al.,yes,,,,,1601510400,"February 5, 2020"
CHN38,China,China,32.72374,106.43198,Work,Work units,Indoor,6,1,1580947200,Yang et al.,yes,,,,,1601510400,"February 6, 2020"
CHN39,China,"Shanghai, China",31.04446,121.54251,Household,Household,Indoor,4,1,1581033600,Yu et al.,yes,,,,,1601510400,"February 7, 2020"
CHN4,China,"Wenzhou, China",28.001376,120.696053,Shopping,Shopping mall,Indoor,11,2,1578614400,Cai et al.,yes,,,,,1601510400,"January 10, 2020"
CHN40,China,China,32.52374,106.43198,Household,Household,Indoor,5,1,1581120000,Zhang et al.,yes,,,,,1601510400,"February 8, 2020"
CHN41,China,"Beijing, China",39.84101,116.457,Market,Seafood market,Indoor / Outdoor,53,4,1591920000,Global Times,no,,,,x,1601510400,"June 12, 2020"
CHN5,China,"Wenzhou, China",28.100722,120.695227,Work,Shopping mall office,Indoor,8,1,1578700800,Cai et al.,yes,,,,,1601510400,"January 11, 2020"
CHN6,China,"Wuhan, China",30.541799,114.345663,Household,Household,Indoor,6,1,1577577600,Chan et al.,yes,,,,,1601510400,"December 29, 2019"
CHN7,China,"Tongji Hospital, Wuhan, China",30.582137,114.261657,Hospital,Hospital,Indoor,54,4,1578355200,Chu et al.,yes,,,,,1601510400,"January 7, 2020"
CHN8,China,"Wuhan, China",30.599737,114.193228,Household,Household,Indoor,3,1,1579305600,Cuong et al. ,yes,,,,,1601510400,"January 18, 2020"
CHN9,China,"Tianjin, China",39.15026,117.27215,Household,Household,Indoor,17,2,1579478400,Dong et al.,yes,,,,,1601510400,"January 20, 2020"
DEU1,Germany,Germany,51.196755,9.62743,Bar,Nightclub,Indoor,17,2,1582588800,Aljazeera article,yes,,,x,,1601510400,"February 25, 2020"
DEU2,Germany,"Wolfsburg, Germany",52.423458,10.759152,Nursing home,Care Homes,Indoor,74,4,1584230400,Wikipedia,yes,,,,,1601510400,"March 15, 2020"
DEU3,Germany,"Munich, Germany",48.141743,11.529451,Work,Seminar,Indoor,16,2,1579478400,The Lancet,yes,,,,,1601510400,"January 20, 2020"
DEU4,Germany,"Birkenfeld, Germany",48.871,8.635,Meat Processing,Cattle slaughterhouse,Indoor,300,9,1587340800,Romania Insider,yes,,,x,x,1601510400,"April 20, 2020"
DEU5,Germany,"Dissen, Germany",52.115522,8.219429,Meat Processing,Cattle slaughterhouse,Indoor,47,3,1589500800,Romania Journal,yes,,,x,x,1601510400,"May 15, 2020"
DEU6,Germany,"Frankfurt, Germany",50.042,8.585,Religious,Baptist church prayer,Indoor,40,3,1589068800,Voice of America,yes,,,x,,1601510400,"May 10, 2020"
DEU7,Germany,"Gangelt, Germany",50.992,5.999,Music / Singing,"4-hour-event. Live music, ritualized kissing.",Indoor,220,6,1581724800,Wikipedia,yes,,,,,1601510400,"February 15, 2020"
DEU8,Germany,"Gütersloh, Germany",51.901128,8.387031,Meat processing,x,Indoor,657,11,1601942400,Frankfurter Allgemeneine,no,,,x,x,1601510400,"October 6, 2020"
ESP1,Spain,"Vitoria-Gasteiz, Spain",42.84873,-2.665487,Funeral,Funeral,Indoor / Outdoor,60,4,1582588800,NNN,yes,,,,,1601510400,"February 25, 2020"
ESP2,Spain,"Madrid, Spain",40.804414,-3.892592,Demonstration,"March, indoor socializing in cafes, restaurants etc",Indoor / Outdoor,500,11,1583625600,US News,yes,Bar,Restaurant,x,,1601510400,"March 8, 2020"
ESP3,Spain,"Madrid, Spain",40.174414,-3.312592,Demonstration,"Political rally, indoor socializing in cafes, restaurants etc",Indoor / Outdoor,500,11,1583625600,Guardian,yes,Bar,Restaurant,x,,1601510400,"March 8, 2020"
EST1,Estonia,"Saaremaa, Estonia",58.518818,22.616532,Sports: Audience,"Chanpagne festival, Volleyball Championship",Indoor,17,2,1583280000,https://www.hs.fi/ulkomaat/art-2000006479600.html,yes,Bar,Restaurant,x,,1601510400,"March 4, 2020"
FIN1,Finland,"Sipoo, Finland",60.375,25.273,Party,Party,Indoor,17,2,1583366400,https://www.hs.fi/kaupunki/art-2000006464211.html,yes,,,x,,1601510400,"March 5, 2020"
FIN2,Finland,"Levi, Finland",63.252,27.276,Bar,Ski resort,Indoor,17,2,1583366400,https://yle.fi/uutiset/osasto/news/multiple_coronavirus_cas,yes,Sports: Participation,,x,,1601510400,"March 5, 2020"
FIN3,Finland,Southern Finland,64.15,28.256,Party,Wedding,Indoor,17,2,1583366400,https://www.hs.fi/kaupunki/art-2000006464211.html,yes,,,x,,1601510400,"March 5, 2020"
FIN4,Finland,"Vuokatti, Finland",64.145,28.267,Bar,Ski resort,Indoor,17,2,1583798400,https://yle.fi/uutiset/3-11295992,yes,Sports: Participation,,x,,1601510400,"March 10, 2020"
FRA1,France,"Les Contamines-Montjoie, France",45.817,6.727,Bar,Party/Ski,Indoor,17,2,1579996800,https://www.cnn.com/2020/02/11/europe/steve-walsh-uk-,yes,Sports: Participation,,x,,1601510400,"January 26, 2020"
FRA2,France,"Mullhouse, France",49.23,7.324,Religious,Religious,Indoor,17,2,1581984000,Reuters,yes,,,x,,1601510400,"February 18, 2020"
FRA3,France,"Crépy-en-Valois, France",49.24,2.885,School,School,Indoor,17,2,1581724800,medRxiv,yes,,,,,1601510400,"February 15, 2020"
FRA4,France,"Alpes-Martimes, France",43.980658,7.048006,Nursing home,Care Homes,Indoor,45,3,1583366400,Guardian article,yes,,,,,1601510400,"March 5, 2020"
FRA5,France,"Mediterranean Sea, France",42.92,5.516572,Ship: Military,Navy ship,Indoor,1081,13,1585699200,New York Times article,yes,,,,,1601510400,"April 1, 2020"
FSM1,Micronesia,Guam,36.853919,-75.393088,Ship: Military,Theodore Roosevelt Navy ship,Indoor,585,11,1585353600,Guardian article,yes,,,,,1601510400,"March 28, 2020"
GBR1,United Kingdom,"Dumbarton, West Dunbartonshire, Scotland",55.9462,-4.571008,Nursing home,Care Homes,Indoor,8,1,1584230400,Daily Mail article,yes,,,,,1601510400,"March 15, 2020"
GBR10,United Kingdom,"Llangefni on Anglesey, Wales, United Kingdom",53.255,-4.31,Meat processing,2 Sisters Food Group meat processing plant,Indoor,200,6,1592438400,BBC,no,,,x,yes,1601510400,"June 18, 2020"
GBR11,United Kingdom,"Cleckheaton, United Kingdom",53.7225,-1.707,Meat processing,Asda owned Kober meat processing plant,Indoor,150,6,1592179200,Halifax Courier,no,,,x,yes,1601510400,"June 15, 2020"
GBR2,United Kingdom,"North Lanarkshire, Scotland",55.8746,-3.9722,Nursing home,Care Homes,Indoor,13,2,1584316800,Daily Mail article,yes,,,,,1601510400,"March 16, 2020"
GBR3,United Kingdom,"East Lothian, Scotland",55.9486,-2.7267,Nursing home,Care Homes,Indoor,9,1,1584403200,Daily Mail article,yes,,,,,1601510400,"March 17, 2020"
GBR5,United Kingdom,"Luton, England, United Kingdom",51.8874,-4.244,Nursing Home,Care Homes,Indoor,5,1,1584230400,BBC article,yes,,,,,1601510400,"March 15, 2020"
GBR6,United Kingdom,"Scotland, United Kingdom",56.7498,-4.297,Hospital,Various hospitals,Indoor,1000,13,1584489600,Herald Scotland,yes,,,,,1601510400,"March 18, 2020"
GBR7,United Kingdom,"Desborough, United Kingdom",52.4397,-0.826,Nursing home,Care home,Indoor,36,3,1590969600,BBC,no,,,,,1601510400,"June 1, 2020"
GBR8,United Kingdom,"Merthyr Tydfil, Wales, United Kingdom",51.7475,-3.385,Meat processing,Kepak meat processing plant,Indoor,34,3,1592179200,BBC,no,,,x,yes,1601510400,"June 15, 2020"
GBR9,United Kingdom,"Wrexham, Wales, United Kingdom",53.0497,-3.024,Meat processing,Rowan foods meat processing plant,Indoor,97,4,1592179200,Food Processing Technology,no,,,x,yes,1601510400,"June 15, 2020"
GHA1,Ghana,"Tema, Ghana",5.668755,0.002428,Fish Processing Plant,x,Indoor,533,11,1587340800,Financial Times,unclear,,,x,yes,1601510400,"April 20, 2020"
HKG1,Hong Kong,"Kwun Tong, Hong Kong",22.3118,114.222,Party,Communal hot-pot meal,Indoor,9,1,1579996800,South China Morning Post,yes,,,x,,1601510400,"January 26, 2020"
IND1,India,"Punjab, India",30.754,75.523,Religious,Group prayer,Indoor,173,6,1587168000,NDTV,no,,,x,,1601510400,"April 18, 2020"
IND2,India,"Delhi, India",24.734,81.334,Religious,"Group prayer, minitry instruction",Indoor,24,2,1584144000,NDTV,no,,,x,,1601510400,"March 14, 2020"
IND3,India,"Odisha, India",20.97,85.74,Party,Birthday party and wedding,Indoor,17,2,1592265600,Hindustan Times,yes,Wedding,,,,1601510400,"June 16, 2020"
IND4,India,"Koyambedu Market East Road, Virrugambakkam, Koyambedu, Chennai, Tamil Nadu, India",13.066,80.195,Market,Vegetable market,Indoor / Outdoor,2760,20,1587513600,Times Now,borderline / unclear,,,,x,1601510400,"April 22, 2020"
IND5,India,"Delhi, India",28.598,77.196,Religious,"Tablighi Jamaat events, multiple days + events",Indoor,4000,20,1584230400,Wikipedia,no,Housing,Travel,x,,1601510400,"March 15, 2020"
IRL1,Ireland,"Edenderry, Ireland",53.345,-7.063,Meat Processing,Rosderra Irish Meats plant,Indoor,60,4,1588291200,Irish Times,borderline,,,x,x,1601510400,"May 1, 2020"
IRL2,Ireland,"Roscrea, Ireland",52.955385,-7.80186,Meat Processing,Roscrea Meat Plant,Indoor,120,6,1587340800,Guardian,yes,,,x,x,1601510400,"April 20, 2020"
ISR1,Israel,"Rehavia, JerUnited Stateslem, Israel",31.77797,35.213314,School,school,Indoor,103,6,1590537600,Times of Israel,no,,,,,1601510400,"May 27, 2020"
ITA1,Italy,"Lombardy, Italy",45.62,9.769,Nursing home,Care Homes,Indoor,27,3,1583798400,Guardian article,yes,,,,,1601510400,"March 10, 2020"
ITA2,Italy,"Codogno, Lombardy, Italy",45.16,9.7,Hospital,Hospital care,Indoor,9,1,1583884800,Guardian article,yes,,,,,1601510400,"March 11, 2020"
ITA3,Italy,"Obereggen, Italy",44.73,11.07,Hotel,Ski hotel,Indoor,13,2,1583971200,VRT NWS article,yes,,,,,1601510400,"March 12, 2020"
ITA4,Italy,"Codogno, Lombardy, Italy",45.17,9.701,Household,Household,Indoor,2,1,1584057600,Guardian article,yes,,,,,1601510400,"March 13, 2020"
ITA5,Italy,"Codogno, Lombardy, Italy",45.18,9.702,Party,Local pub,Indoor,4,1,1584144000,Guardian article,yes,,,x,,1601510400,"March 14, 2020"
ITA6,Italy,"Codogno, Lombardy, Italy",45.19,9.703,Sports: Participation,Running partner,Outdoor,2,1,1584230400,Guardian article,yes,,,,,1601510400,"March 15, 2020"
ITA7,Italy,"Milan, Italy",45.463194,9.174297,Sports: Audience,Soccer game attendance,Indoor / Outdoor,7000,25,1582070400,CBS Sports,yes,Bar,Transportation,x,,1601510400,"February 19, 2020"
JAM1,Jamaica,"Portmore, Jamaica",17.949731,-76.885588,Call Center,Call center,Indoor,33,3,1586476800,Loop,no,Office,,x,,1601510400,"April 10, 2020"
JPN1,Japan,"Pacific Ocean, Japan",35.12826,144.377103,Ship: Cruise,Cruise Ship,Indoor,620,11,1579564800,Rocklov et al.,yes,,,,,1601510400,"January 21, 2020"
JPN10,Japan,"Kanagawa Prefecture, Japan",35.455659,139.298,Nursing home,Social welfare centre,Indoor,10,2,1582502400,Straits Times,yes,,,,,1601510400,"February 24, 2020"
JPN11,Japan,"Itami-shi, Japan",34.797937,135.389,Nursing home,Elderly welfare centre,Indoor,10,2,1582588800,Straits Times,yes,,,,,1601510400,"February 25, 2020"
JPN12,Japan,"Nagoya-shi, Japan",35.150343,136.926,Nursing home,Elderly welfare centre,Indoor,10,2,1582675200,Straits Times,yes,,,,,1601510400,"February 26, 2020"
JPN13,Japan,"Niigata-shi, Japan",37.909525,139.04,Sports: Participation,Table tennis school,Indoor,10,2,1582761600,Straits Times,yes,,,x,,1601510400,"February 27, 2020"
JPN14,Japan,"Chiba Prefecture, Japan",35.66064,140.303,Sports: Participation,Sports gym,Indoor,5,1,1582848000,Straits Times,yes,,,x,,1601510400,"February 28, 2020"
JPN15,Japan,"Nagoya-shi, Japan",35.150343,136.926,Sports: Participation,Sports gym,Indoor,10,2,1582934400,Straits Times,yes,,,x,,1601510400,"February 29, 2020"
JPN16,Japan,"Kyoto, Japan",35.151832,135.709,Social Gathering,Social gathering,Indoor,5,1,1581811200,Japan Times,yes,,,x,,1601510400,"February 16, 2020"
JPN17,Japan,"Aichi, Japan",35.015829,137.392,Gym,x,Indoor,5,1,1581897600,Japan Times,yes,,,x,,1601510400,"February 17, 2020"
JPN18,Japan,"Kanagawa, Japan",35.387009,139.180303,Medical,x,Indoor,5,1,1581984000,Japan Times,yes,,,,,1601510400,"February 18, 2020"
JPN19,Japan,"Tokyo, Japan",35.679318,139.803343,Medical,Medical and restaurants,Indoor,5,1,1582070400,Japan Times,yes,,,,,1601510400,"February 19, 2020"
